"A101_01","A102_01","A202_01","A202_02","A203_06","A203_05","A203_03","A203_04","A203_10","A203_01","A203_07","A203_08","A203_09","A204","A205_01","A206_01","A206_02","A206_03","A207_01","A207_02","A207_03","A207_04","A207_05","A208_01","A208_02","A208_03","A208_04","A501_01","A501_02","A501_03","A501_04","A502","A502_01","A502_02","A502_03","A502_04","A502_05","A502_06","A502_07","A502_08","A502_09","A601_01","A602","A603_01","A603_02","A603_03","A603_04","A604","A605","A702","Bula"
4,"Migration ",66,68,1,1,5,5,3,2,3,2,3,2,"Keine ",4,3,3,4,3,4,4,4,3,2,2,4,4,4,4,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1981",2,2,1,1,2,6,4,1,"RLP"
5,"Gesundheitswesen ",101,50,4,1,6,4,4,4,4,3,4,2,NA,3,5,1,NA,NA,NA,NA,NA,5,3,4,4,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1957",1,2,1,2,2,6,1,1,"TH"
3,"Fussgängerzone",83,101,3,4,2,6,2,1,1,1,5,2,NA,4,3,1,2,1,3,5,5,5,1,5,1,4,2,2,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1962",1,2,1,2,2,5,3,1,"RLP"
3,NA,83,66,4,4,3,4,4,5,4,3,3,1,"Allgemeine Zeitung ",3,3,4,4,4,3,3,3,4,4,3,4,4,4,3,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1997",1,2,1,1,2,3,3,1,"RLP"
4,"Ortsdurchfahrt für Lkw verbieten ",69,70,4,4,5,6,3,3,3,1,1,2,NA,2,3,3,5,3,4,4,4,2,3,3,4,2,2,2,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1967",1,1,2,2,2,6,1,1,"RLP"
4,"Transparenz gegenüber den Bürger",79,91,5,4,4,5,5,4,4,3,4,2,NA,5,4,3,3,3,4,2,4,3,4,3,4,5,3,4,5,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1984",1,2,1,2,2,3,4,1,"RLP"
3,"K.A.",54,55,1,2,2,2,2,1,1,1,5,2,NA,3,3,3,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1961",1,1,2,2,2,6,5,1,"TH"
3,"Klimawandel und alles drum herum",50,65,2,3,3,4,2,3,2,2,3,2,"Keine",3,3,3,5,5,5,5,4,3,3,2,4,1,2,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1989",2,1,2,2,2,2,5,1,"RLP"
5,"Das sterben der Apfelstädt Aue ",99,68,5,2,5,5,5,3,3,1,5,1,"TA Erfurt",1,1,1,NA,NA,NA,NA,NA,5,1,5,1,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1957",2,2,1,2,2,6,1,1,"TH"
3,"weiß nicht",58,86,4,4,5,2,1,1,1,1,3,1,"Thüringer Allgemeine",4,4,4,NA,NA,NA,NA,NA,4,4,4,3,3,2,1,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1978",2,1,2,2,2,2,5,1,"TH"
3,"tempolimit innerorts",58,80,2,4,1,5,4,4,4,2,5,2,NA,4,4,4,5,5,5,5,3,5,1,5,1,4,3,4,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1964",1,1,2,2,2,6,1,1,"RLP"
4,"Rente ",77,68,1,1,2,5,3,1,3,1,4,2,NA,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1971",2,2,1,2,1,6,4,1,"RLP"
3,"Bildung und lohn ",67,66,2,2,4,4,2,2,1,2,2,2,NA,3,4,2,3,5,5,5,2,1,1,3,1,5,5,3,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1993",2,1,2,2,2,3,3,1,"RLP"
5,"wohnraum",82,85,4,4,5,5,5,5,5,5,5,2,NA,3,3,3,NA,NA,NA,NA,NA,4,2,5,4,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"1973",1,2,1,1,2,6,4,1,"TH"
3,"Altersarmut ",59,70,4,4,3,5,4,4,4,5,4,2,"Thüringen allgemeine",4,3,4,NA,NA,NA,NA,NA,4,3,4,4,3,3,4,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1991",1,1,2,2,2,6,4,1,"TH"
5,"Migration ",79,35,4,2,3,4,3,3,3,2,3,2,NA,2,2,2,NA,NA,NA,NA,NA,3,4,3,3,4,4,4,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Deutschland ",1,2,1,2,1,6,4,1,"TH"
4,"Mobilität",62,73,2,2,3,4,2,2,2,3,4,2,NA,3,3,2,5,4,4,5,4,4,3,3,3,4,4,4,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2005",2,NA,NA,1,1,5,5,1,"RLP"
5,"Deichsicherung",100,3,1,1,1,1,3,1,3,1,1,2,"Amtsblatt",1,4,4,3,3,5,3,1,5,1,5,2,3,3,1,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1972",1,1,2,2,2,6,1,1,"RLP"
5,"Wohnungsbau",101,101,5,6,3,2,3,5,2,1,3,1,"Allgemeine Zeitung",1,1,1,5,5,5,5,4,4,4,4,4,5,4,4,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1988",1,2,1,1,2,2,1,1,"RLP"
5,"Verkehr",101,101,4,1,6,5,4,5,2,1,4,2,NA,4,2,1,3,5,4,3,1,3,1,2,4,1,1,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1965",1,2,1,2,2,6,3,1,"RLP"
5,"Flüchtlingspolitik",101,101,5,1,6,6,3,1,3,3,4,1,"Oeffebtlicher Anzeiger",3,1,1,5,5,5,5,5,5,1,5,1,5,5,5,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1966",1,2,1,2,2,6,1,1,"RLP"
5,"Flüchtlinge",78,60,1,1,1,4,3,6,4,6,5,2,NA,5,5,5,NA,NA,NA,NA,NA,4,1,4,1,5,5,5,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1982",2,2,1,1,2,6,5,1,"TH"
5,"Einwanderung",84,92,5,4,5,6,4,5,4,4,5,1,"Allgemeine Zeitung",1,3,3,4,5,5,5,1,5,2,4,2,5,5,5,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1962",1,2,1,1,2,6,3,1,"RLP"
4,"einwanderung",83,83,6,2,5,6,5,1,2,1,4,1,"TA",2,3,3,NA,NA,NA,NA,NA,4,2,4,2,4,4,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1965",1,2,1,2,2,6,4,1,"TH"
4,"Kann ich nicht sagen ",38,74,1,1,4,5,1,1,1,1,3,2,NA,3,4,3,NA,NA,NA,NA,NA,2,1,2,1,3,3,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1958",1,2,1,2,2,6,NA,1,"TH"
4,"Ausländer",94,101,5,2,5,4,4,5,4,1,5,2,NA,3,3,3,NA,NA,NA,NA,NA,2,2,2,2,4,3,4,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1984",2,2,1,1,2,6,4,1,"TH"
5,NA,85,78,4,4,5,6,4,5,5,4,5,2,NA,3,5,2,NA,NA,NA,NA,NA,3,3,5,4,4,4,5,4,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1985",2,2,1,1,2,3,2,1,"TH"
4,"Radweginfrastruktur",95,99,5,4,6,6,3,1,3,2,4,1,"Thüringer Allgemeine",3,3,2,NA,NA,NA,NA,NA,4,3,4,3,4,4,5,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1971",1,2,1,2,2,6,3,1,"TH"
4,"Wohnungsbau",93,101,1,1,5,5,4,5,3,3,4,2,NA,4,4,5,5,5,4,2,2,4,4,4,4,4,4,4,4,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1953",1,2,1,2,2,6,1,1,"RLP"
3,"Günstige Wohnungen",69,41,3,3,4,4,4,3,4,3,4,2,NA,4,2,3,4,4,3,4,4,3,4,2,3,3,4,3,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1974",1,1,2,2,2,3,1,1,"RLP"
5,"Familien ",99,101,5,2,5,5,1,2,1,2,4,1,"Thüringer Allgemeine ",4,1,1,NA,NA,NA,NA,NA,4,4,5,4,5,4,4,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1979",2,2,1,1,1,6,3,1,"TH"
5,"einwanderung",101,101,3,3,3,3,3,3,3,3,3,2,NA,3,3,3,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1963",1,2,1,2,2,6,1,1,"TH"
4,"rente3",83,80,1,1,1,1,3,2,3,1,1,2,NA,3,3,3,1,3,4,4,4,3,1,3,1,5,5,5,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1963",1,2,1,2,2,4,1,1,"RLP"
5,"Inflation ",100,91,5,5,5,5,4,3,2,4,5,2,NA,3,2,4,NA,NA,NA,NA,NA,5,2,5,3,4,4,5,5,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"1970",1,2,1,1,2,6,1,1,"TH"
3,"Verbesserung der Infrastruktur",101,97,5,1,5,5,1,1,2,1,3,1,"thüringer allgemeine",5,3,3,NA,NA,NA,NA,NA,3,2,1,1,5,5,5,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1966",2,1,2,2,2,6,3,1,"TH"
5,"Fluglärm",96,98,3,4,3,4,3,4,3,2,3,2,NA,4,3,2,4,3,3,3,2,3,3,3,3,5,5,4,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1978",1,2,1,1,2,3,5,1,"RLP"
4,"Verkehr",101,101,4,4,5,6,4,1,3,3,3,1,"Thüringer Allgemeine",1,3,1,NA,NA,NA,NA,NA,4,2,5,3,3,4,1,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1959",1,2,1,2,2,2,5,1,"TH"
4,"Parkplatz schaffen",86,87,2,2,2,5,3,4,2,1,4,2,NA,3,5,3,NA,NA,NA,NA,NA,4,3,4,2,4,3,5,4,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"1962",2,2,1,2,1,3,1,1,"TH"
4,"gesundheitswesen ",95,94,5,1,5,5,3,1,2,4,4,2,"Keine",3,2,3,NA,NA,NA,NA,NA,3,2,4,3,4,4,3,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1954",1,2,1,2,2,6,4,1,"TH"
3,"Bezahlbarer Wohnraum ",63,63,1,1,6,4,4,2,1,1,4,2,NA,3,4,3,NA,NA,NA,NA,NA,3,3,3,3,3,2,4,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1990",1,2,1,2,2,3,5,1,"TH"
4,"bezahlbarer Wohnraum ",77,62,2,1,4,3,3,4,1,2,3,2,NA,3,3,3,4,5,4,3,2,3,3,3,4,5,5,5,5,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1988",1,2,1,1,2,2,5,1,"RLP"
3,"Schulbus Verkehr",85,51,3,2,6,3,3,4,4,1,5,2,NA,2,2,3,5,5,5,4,4,4,3,3,3,5,5,5,5,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1975",2,2,1,2,2,4,1,1,"RLP"
4,"...",97,95,5,4,5,5,4,4,4,3,4,1,"öffentlicher anzeige",3,2,1,5,4,5,5,5,2,1,2,1,5,3,1,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1966",1,2,1,2,2,5,3,1,"RLP"
5,"Inflation",101,101,1,5,4,5,3,4,3,4,4,2,NA,1,1,1,NA,NA,NA,NA,NA,3,4,4,4,4,4,3,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1976",1,2,1,1,2,2,3,1,"TH"
5,"Armut",100,99,1,1,3,6,3,3,2,2,3,2,NA,3,3,5,5,5,5,4,3,4,3,3,4,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1960",2,1,2,2,2,6,5,1,"RLP"
4,"Keine Ahnung",43,41,1,1,3,1,1,1,3,1,4,2,NA,3,3,3,NA,NA,NA,NA,NA,3,3,3,3,4,3,4,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1982",1,1,2,1,2,6,5,1,"TH"
3,"Bezahlbarer Wohnraum",59,76,1,1,1,1,2,1,1,2,3,2,NA,3,3,3,3,5,5,4,2,4,3,2,3,2,2,2,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1960",2,1,2,2,2,5,5,1,"RLP"
5,"Wiederherstellung der Demokratie ",100,98,1,1,3,1,1,1,3,3,6,2,NA,5,5,5,NA,NA,NA,NA,NA,5,3,5,2,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1956",1,2,1,2,2,4,1,1,"TH"
5,"Klimaschutz",101,101,1,1,4,4,1,3,1,1,1,2,NA,1,2,4,5,5,5,4,3,3,3,2,3,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1960",1,2,1,2,2,6,5,1,"RLP"
5,"Migration",101,101,3,2,1,2,4,5,3,2,5,2,NA,4,4,4,NA,NA,NA,NA,NA,3,2,3,1,3,3,2,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1961",1,1,2,2,2,3,1,1,"TH"
4,"Gesundheitswesen",77,64,1,1,1,1,3,1,2,2,3,2,NA,5,5,5,NA,NA,NA,NA,NA,3,3,2,3,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1958",2,1,2,2,1,6,3,1,"TH"
4,"Klima",101,101,3,3,3,5,4,6,3,3,4,2,NA,4,2,4,NA,NA,NA,NA,NA,4,4,4,3,5,5,3,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1999",2,1,2,2,2,6,5,1,"TH"
5,"Klimaschutz und Wasserknappheit",101,82,3,1,5,5,3,2,1,2,3,2,NA,3,2,3,5,5,4,3,3,4,2,4,3,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1956",2,1,2,2,2,6,3,1,"RLP"
4,"Integration von Migranten",80,80,3,1,5,5,3,4,1,2,4,2,NA,3,1,2,NA,NA,NA,NA,NA,4,3,3,2,4,4,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1968",1,1,2,2,2,6,4,1,"TH"
4,"Wohnraum ",77,64,4,1,6,4,1,4,1,1,4,2,NA,3,4,3,NA,NA,NA,NA,NA,2,3,4,3,4,3,2,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1990",2,1,2,2,2,3,4,1,"TH"
5,"Sanierungsstau öffentliche Einrichtungen, Gebäude und Infrastruktur",101,101,6,4,6,5,2,6,3,5,6,1,"Thüringer Allgemeine",3,2,2,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,6,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"1985",1,2,1,2,1,3,1,1,"TH"
3,"Nichts ",67,71,3,3,5,4,2,3,3,2,5,2,NA,3,3,3,NA,NA,NA,NA,NA,1,1,3,1,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1969",2,1,NA,NA,NA,6,1,1,"TH"
5,"Glasfaser",101,91,5,1,5,5,3,2,3,1,4,2,NA,4,2,3,NA,NA,NA,NA,NA,4,4,3,4,5,5,4,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1958",2,2,1,2,2,6,1,1,"TH"
1,"Einwanderung ",94,1,1,1,1,1,1,1,6,1,6,2,NA,5,5,5,4,4,3,2,1,5,4,5,4,5,5,5,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1979",1,2,1,1,2,6,1,1,"RLP"
4,"Öffentliche Verkehrsmittel",51,79,1,1,6,5,4,5,3,2,4,2,NA,5,3,5,NA,NA,NA,NA,NA,5,1,5,2,4,4,4,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1965",1,1,2,2,2,3,2,1,"TH"
4,"Energieplan",78,88,5,4,5,5,2,4,3,3,3,1,"AZ",2,3,2,4,3,4,5,4,5,3,4,4,5,4,4,5,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1958",1,2,1,2,2,5,2,1,"RLP"
4,"Finanzielle Unterstützung für Rentner bzgl Inflation",94,98,3,1,5,5,3,2,2,1,3,2,NA,2,4,5,4,5,5,5,5,4,2,4,3,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1971",2,2,2,2,1,1,1,1,"RLP"
4,"Klimaschutz",84,76,5,5,2,5,2,6,3,2,3,2,NA,4,3,2,5,5,4,5,3,5,2,5,3,4,3,4,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"1973",1,2,1,1,2,6,3,1,"RLP"
4,"sozialer Frieden",95,94,5,2,6,5,5,1,4,3,4,1,"Mainzer Allgemeine",2,2,3,4,4,4,4,4,3,4,4,4,4,4,5,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1968",1,2,1,2,2,6,1,1,"RLP"
4,"Asyl",71,55,3,4,2,2,1,3,1,1,4,2,NA,3,3,2,NA,NA,NA,NA,NA,3,2,3,3,4,4,3,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1987",1,1,2,2,2,6,4,1,"TH"
3,"Gemeinwohl und öffentliche Sicherheit",77,101,3,1,1,5,1,1,2,3,5,2,NA,5,4,3,NA,NA,NA,NA,NA,4,1,4,1,3,3,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1959",2,1,2,2,2,6,4,1,"TH"
5,"Kinder, Rentner, Inflation,Wohnungsbau, Sicherheit",101,91,4,4,3,5,3,6,3,1,4,2,NA,3,4,1,NA,NA,NA,NA,NA,3,2,4,2,4,5,2,4,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"1982",2,2,1,1,2,6,2,1,"TH"
4,"Armut",77,87,3,2,4,4,5,6,2,1,2,2,NA,5,4,3,NA,NA,NA,NA,NA,4,4,4,5,5,4,4,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2004",3,2,1,1,2,6,3,1,"TH"
3,"Wirtschaftliche lage",75,97,4,3,3,2,3,2,3,2,3,2,NA,3,3,4,4,4,5,5,3,3,3,2,4,3,3,2,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1959",2,1,2,2,2,6,1,1,"RLP"
3,NA,77,37,4,3,4,5,3,3,3,3,1,1,"Amtsblatt ",2,4,4,NA,NA,NA,NA,NA,2,5,3,5,3,4,3,4,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1976",2,2,1,1,2,3,3,1,"TH"
5,"Wohnungen",100,73,6,6,6,4,4,6,3,2,6,1,"Wochenspiegel",3,3,3,2,5,5,5,5,3,3,3,1,3,1,1,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1972",2,2,1,1,1,2,1,1,"RLP"
4,"Sauberkeit, Kultur",88,68,3,2,5,5,5,4,3,1,4,1,"Rhein Zeitung / Nahe-Zeitung",2,3,2,1,1,3,4,5,4,1,4,1,5,4,5,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1959",1,1,1,2,2,6,3,1,"RLP"
4,"Rechtsradikalismus und Rassismus",78,97,2,4,4,4,2,3,2,1,3,2,NA,1,3,2,NA,NA,NA,NA,NA,2,3,2,4,3,2,2,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1965",1,2,1,2,2,2,5,1,"TH"
4,"Energie",89,81,4,3,5,3,4,4,3,1,3,1,"Allgemeine Zeitung",4,4,4,4,5,5,4,3,3,2,2,2,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1964",2,2,1,2,2,6,1,1,"RLP"
5,"Flüchtlinge ",101,101,5,1,6,4,2,5,5,4,5,1,"Öffentlicher Anzeiger",4,1,1,3,2,4,5,1,5,3,5,4,4,4,5,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1966",1,2,1,2,2,6,1,1,"RLP"
5,"Kinder-und Altenbetreuung",76,80,3,3,5,4,4,3,3,3,4,2,NA,4,3,4,NA,NA,NA,NA,NA,4,3,4,3,5,5,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1961",2,1,2,2,2,6,1,1,"TH"
